Sentence,Sentiment
the measur taken will caus one-tim cost dure the final part of,neutral
we respect their decis the discuss are now close said kai telann alma media s ceo,neutral
base on negoti with personnel some have indic their willing to move to the new locat,neutral
royal mail share price edg lower as group rais stamp price,negative
howev sale volum in the food industri are expect to remain at relat good level in finland and in scandinavia atria said,positive
the compani s previous estim was for a lower revenu than the year-ago eur million,negative
the compani is studi the feasibl of focus most of it process meat product in the vantaa facil and the process of fresh meat in the forssa facil,neutral
oper profit for the three-month period increas from eur m while revenu increas from eur m as compar to the correspond period in,positive
the combin activ will creat valu for sharehold and be good for our employe and custom,positive
march a leakag in the gypsum pond was detect today at the talvivaara mine,negative
the liquid provid was interrupt on may when aspocomp group oyj s share trade below cent aspocomp s stock exchang releas,negative
the contract of the employe of whom are blue-collar worker will be end between march and august,neutral
construct is schedul to start in april-jun and to be complet in earli,neutral
spi long posit,positive
befor kemira s instal nordalu was produc ton of liquid and solid aluminum wast per year,neutral
potenti defect with third-row seat belt tesla motor recal model x suv tsla,negative
srv will also build an aqua park with well area a restaur and a multifunct ice arena,neutral
csx is up today to report wall street is expect ep to be at and revenu at b,positive
sale by seppala diminish by per cent,negative
in juli it and quadriga capit sold their lewa gmbh pump-mak busi to japan s nikkiso co,neutral
finnish silicon wafer technolog compani okmet oyj omx helsinki okmv report on thursday august an oper profit of eur m for the period january-jun up from eur m in the correspond period in,positive
isolation anoth sell rate sell rate on spi qqq iwm and sever compani aapl appl axp bac,negative
the firm generat sale of mln eur in,neutral
it is a disappoint to see the plan fold,negative
in the third quarter of net sale increas by to eur mn and oper profit by to eur mn,positive
in january-novemb the group s sale total eur mn which was a drop of from the same period of,negative
in octob upm report a third-quart net loss of euro million million compar with a net profit of euro million in,negative
telecom has a foreign invest limit of but it appear that mobil vas doe not which mean that tecnomen can pick up as much as,neutral
the maritim administr said the ship had ignor warn about the ici condit,negative
all the ferri had run into troubl just outsid the stockholm archipelago made up of more than island,negative
accord to seikku the retail sector in finland is control by - larg actor while food manufactur are still relat small,neutral
gypsii servic support ten differ languag includ korean and russian,neutral
goodwin not to face scottish prosecut over rbs,positive
fb gone green on day,positive
dilut ep rose to eur from eur,positive
the eu commiss said earlier it had fine thyssenkrupp unit technolog corp s oti schindler ag and kone oyj a total of mln eur for alleg cartel activ in the lift market go back twelv year,negative
ftse flat standard charter lead riser,positive
becaus we re a pension insur compani we re requir to diversifi and not put too much in one asset class,neutral
finnish messag solut develop tecnomen corpor omx helsinki temv said on thursday decemb that it has receiv an expans order for it converg charg solut in latin america,positive
base on the first quarter result exist order backlog and new order prospect the compani expect that full-year sale will contract by from the gross margin will stay at a healthi level and the oper profit margin will be lower than in due to lower sale volum,negative
the refin margin for the year was - bbl compar to - bbl in the prior year,positive
fb turn back down in earli trade,negative
facebook near a buy point last week face a differ technic test today fb aapl nflx,positive
cost costco less than stellar day but it held the day move averag,negative
royal mail breach competit law over deliveri servic chang ofcom claim,negative
through the new product line at the novat mill in veliki ustjug vologda oblast sveza will chang it current m by m birch plywood product target the domest market to produc m by m overlaid birch plywood for the global market,neutral
the repo rate will gradual reach at the end of accord to nordea s econom outlook,neutral
accord to heikkilñ more than just refresh and energi will soon be found in soft drink also in finland,neutral
a purchas agreement for ton of gasolin with deliveri at the hamina termin finland was sign with nest oil oyj at the averag platt index for this septemb plus eight us dollar per month,positive
oper cash flow after invest total eur mn compar to eur mn in the correspond period in,neutral
the cooper will involv arena partner buy a share of the new joint ventur compani oper in alma media s home sale vehicl and consum advertis marketplac busi,neutral
amrn you can mani time find top and bottom when short start rejoic or bull start rejoic current it is the short rejoic,negative
finnish outokumpu technolog has been award sever new grind technolog contract,positive
orion s net profit for the third quarter of decreas to mln euro mln from mln euro mln a year earlier,negative
mobil phone shipment jump percent to almost million unit while finnish compani s global market share rose to percent from percent,positive
dixon carphon profit boost on strong sale,positive
tesco share jump after christma sale beat expect,positive
british american tobacco first-half sale hurt by currenc move,negative
eu drop shell bp statoil from ethanol benchmark investig,positive
cargo traffic fell year-on-year to tonn in septemb,negative
valeant said to name new ceo with pearson still hospit,neutral
scopi chief busi excel offic eng,neutral
adpnew - jul - finland-bas steel maker rautaruukki oyj ruukki hel rtrks said today it slip to a net loss of eur million usd m for the first half of from a net profit of eur,negative
salcomp manufactur oy will pay eur million in cash to salcomp in connect with the implement of the sale and transfer of the busi,neutral
i-grid show dia cap for the long term at rang of - ani ralli beyond today level or into this rang lead to meltdown,negative
the dispos of autotank will also strengthen aspo s capit structur comment gustav nyberg ceo of aspo,positive
finnish bank of àland report it oper profit rose to eur mn in the second quarter of from eur mn in the correspond period in,positive
vnh generat annual net sale of about mln eur and employ peopl,neutral
in kemira record revenu of approxim eur billion and had a staff of,neutral
oper profit rose to eur mn from eur in the correspond period in,positive
accord to karhinen op-pohjola is an excit enterpris becaus the cooper will bring huge opportun for custom and the compani itself,positive
lt also acquir a pct stake in local sector compani salvor oy at the begin of septemb,neutral
standard charter not rais capit yet as dividend cut,negative
shire share price under pressur after bn baxalta deal,negative
raisio s bid to buy glisten is a win-win deal for both compani the chairman of the uk snack firm told just-food today februari,positive
the workforc will be reduc also in the amsterdam offic in the netherland,negative
commod channel index indic signal a oversold for fb stockmarket,positive
at some point in all separ compani name such as palmberg tekmanni lemcon forssan betoni suonenjoen betonituot among other will disappear,neutral
alma media expect it net sale to increas as forecast previous,positive
should you buy associ british food plc great portland estat plc and dunelm group plc follow today news,positive
at the same time the market for autom liquid handl devic is alreadi larger than that for pipett accord to biohit,neutral
pretax profit total eur mn compar to a loss of eur mn in the correspond period in,positive
profit befor tax was eur mn down from eur mn,negative
stora enso oyj said it second-quart result would fall by half compar with the same period in,negative
sale increas due to grow market rate and increas oper,positive
russian export duti will activ harvest in finland and sale in russia will increas also,positive
our standardis servic have met with a posit recept among our custom as well as at itella,positive
like t for a breakout long as well get through the and ma could see it run,positive
oper profit was eur mn up from eur mn,positive
the order compris four ball mill which will be organ in two differ stream for treat ore in the pilanesberg platinum mine,neutral
cdp was establish on the initi of institut investor howev the annual publish result also interest an increas number of custom and other interest group of the report compani,neutral
after the split the number of k share will be and the number of a share,neutral
onc your plant are in the ground they will continu to grow but the success of ani garden lie in how well it s maintain,neutral
rinkuskiai rais the sale by percent to million liter while the sale of kauno alus grew by percent to liter,positive
the combin valu of the order is eur mn,neutral
in addit a further employe can be laid off until further notic and the whole workforc can be laid off for short period if need,negative
the redesign crush circuit has been in oper sinc the start of septemb and it overal product rate on a week basi is in excess of an averag of tonn a day,neutral
accord to karhinen op-pohjola is an excit enterpris becaus the cooper will bring huge opportun for custom and the compani itself,positive
los angeles-bas pacif offic properti trust acquir own and oper offic properti in the western us focus initi on the market of honolulu san diego los angel and phoenix,neutral
pharmaceut market in belgium global research data servic publish recent a market analysi about the pharmaceut market in belgium,neutral
helsinki afx - metso said it will upgrad one of upm-kymmen s four paper machin at the latter s mill in jaemsaenkoski with a new coat color suppli system machin and process control and qualiti measur,positive
oper profit rose to eur mn from eur mn in the correspond period in,positive
tyrvaan sanomat publish twice a week by tyrvaan sanomat oy appear in sastamala and kiikoinen,neutral
in a separ announc to the helsinki stock exchang atria reveal that the compani s third quarter profit declin from eur m in the third quarter of last year to eur m in this year s q,negative
niam offer financi investor a high return via invest in fund that in turn invest in all type of properti,neutral
becaus the applic can be consid as a hack applic it is classifi by f-secur as riskwar,neutral
the final outcom of the right offer is to be report around octob,neutral
upm s deliveri increas dure the third quarter by percent and the effici of oper improv chief execut jussi pesonen said,positive
oper loss total eur mn compar to a loss of eur mn in the correspond period in -,negative
nvestor soda has a float short lol,negative
i am veri pleas and proud of our perform last year chief execut juha rantanen said in a statement,positive
the compani is in the process of build a new fleet and has place order for p-max tanker of dwt,positive
revenu was slight down at xac million million compar to xac million a year earlier,negative
gild now support ibb bib,positive
companiesab inbev signal it wont go hostil for sabmil,positive
oper loss amount to eur mn in the first half of compar to a profit of eur mn in the first half of,neutral
at cet arcelormitt had lost to eur on euronext pari come at the lead of the blue-chip faller,negative
follow the level i share with you on nflx googl tsla call for nice gain still hold fb call week made in a morn,positive
the compani has establish a g base station at about feet at the foot of mount everest that will enabl mountain climber at the -foot summit to surf the internet and even send video of their exploit,positive
loss for the period total eur mn compar to a profit of eur mn in,neutral
morrison face festiv sale test,negative
pretax loss total eur mn compar to a loss of eur mn in the correspond period,neutral
as a result the compani has decid it will implement fixed-term temporari lay-off,negative
soni ericsson and nokia domin the list of best-sel handset with five model each,positive
pcln back to back intraday revers look out below short move in!,negative
the fair valu chang of invest properti was eur mn compar to eur mn in the third quarter of,negative
in the second quarter of the group s pretax loss narrow to eur from eur,positive
it now own share in amer sport corpor equal of the compani s share capit and vote right,neutral
insur old mutual pick standard bank hemphil as new ceo,neutral
the chf is a great product,positive
aapl take out the short here a punish remind not to spear the strongest in the herd,positive
the final outcom of the right offer is to be report around octob,neutral
earn per share ep for the first quarter amount to eur up from eur,positive
the valu of the order is usd mn,neutral
kinder morgan and bp form joint ventur limit liabil compani to purchas,positive
tecnomen s system featur a new rang of value-ad servic for prepaid and post-paid bill charg and rate of voic call data traffic or ani kind of content servic in both mobil and fix network,neutral
in finland finnish pharmaceut compani orion corpor omx helsinki ornav said on wednesday januari that it has conclud it personnel negoti in finland and will reduc the number of personnel by,negative
ssh communic secur corp stock exchang releas octob at pm the compani updat it full year outlook and estim it result to remain at loss for the full year,neutral
the estonian electron compon factori elcoteq is run out of materi becaus of the closur of air traffic,negative
seven-month sale of raguti which is control by the finnish breweri olvi declin by percent to million liter and the compani held percent of the market,negative
the reduct notic appli to peopl,negative
finnish sport equip compani amer sport said it has decid to lay off worker from it salomon divis in franc,negative
net sale surg by to eur m telest said that eur m or of the sale came from the acquisit made in,positive
pm central offic of nordea bank -ya ulitsa yamskogo polya build telephon -- ext unimilk - egm - xvi intern business-summit food busi russia will take place,neutral
pre-tax loss total eur mn compar to a loss of eur mn in the first quarter of,positive
nasdboy i think the dnf crew can get this nflx short into the next day head into earn,negative
kirsi rantanen was previous develop director for hk ruokatalo s poultri busi,neutral
howev the compani saw it net profit for the third quarter down to eur m from eur m for the correspond period of,negative
finnish lt recoil a compani specialis in use oil regener is build a facil in hamina in finland in,neutral
rt jan arna dont think buyout rumor strong enough too be drive this up just yetwhen it is this may fli like aapl fli how high,neutral
accord to ceo kai telann the compani s newspap achiev the best financi result ever,positive
finnish lift equip maker konecran hel kcrv said on juli it has rais it stake in austrian manipul maker ac konecran to and bought german sector player knight europ,positive
under the agreement pfizer has been fund bioti s research activ on the pde phosphodiesteras inhibitor program sinc it start in late and has the sole author to develop discov compound,neutral
the emerg market that raisio has chosen to enter so far are mark by relat low per capita food consumpt,neutral
oper result exclud one-off item total eur mn compar to eur mn in continu oper exclud one-off item in,negative
efor s presenc here also open up new and interest develop opportun for our student the dean of the faculti of electron communic and autom at tkk said,positive
the baswar connect servic allow compani to handl purchas to pay process onlin and make their intern process more effici said ceo ilkka sihvo baswar corpor,positive
mt theacsman amaz see everyon sudden tout msft long been favorit cover call doubl dip dividend play,positive
oper profit for the -month period decreas from eur m while net sale increas from eur m as compar to,negative
arcelormitt chief execut offic lakshmi mittal has alreadi cut output at some furnac,negative
as a condit to the deal savcor alfa has to have bought photonium and aks lahtinen inc s busi oper prior to the deal,neutral
swiss bank credit suiss intern will act as an investor in the locomot manufactur plant the astana administr said,neutral
after the share purchas is complet financ will also be provid to expand latvia s broadband infrastructur and to develop new area of busi includ acquisit of other compani,positive
fb nice buyabl intraday dip right here,positive
in a media advisori the ntsb said that after subsequ test the train detect system intermitt fail,neutral
both oper profit and net sale for the six-month period increas respect from eur m and eur m as compar to the correspond period in,positive
accord to pietinalho doctor should motiv their patient who smoke everi time they visit their doctor,neutral
custom wave card in front of the reader to make payment similar to touch and go card use in transport system,neutral
the america repres of gemalto s bill and latin america is one of the fastest grow region for the compani,neutral
juli - finnish steel maker rautaruukki oyj hel rtrks or ruukki said today it turn to a net profit of eurm in the second quarter of from a net loss of eurm in the correspond period last year,positive
howev the growth margin slow down due to the financi crisi,negative
in comptel slip to a net loss of eur m from a profit of eur m in the previous year,neutral
updat -berkshir appli to boost well fargo stake abov pct,positive
the transact doubl tecnomen workfors and add a fourth to their net sale,positive
upm-kymmen said it has not indic ani interest in ani domest consolid,neutral
oper loss total eur mn compar to a profit of eur mn,neutral
all amer sport compani develop and manufactur technic advanc product that improv the perform of activ sport particip,neutral
x mark the recal tesla recal modelx for faulti rd row seat tsla,negative
enbca headshould bullish revers setup and breakout oil and gas piplelin stock uso,positive
dirk jone head of financi institut client sale manag gts citigroup inc said citi is extrem pleas to be provid global custodi servic to pohjola group bank,positive
the cost of the deal could rang from million to million euro depend on the financi result of the two compani in the statement say,neutral
updat easyjet passeng number aer lingus traffic up in februari,positive
ms laakso will be respons for hkscan s hr function and for their develop in all of the group smarket area,neutral
accord to chairman michael hornborg the organ has mere criticis raisio s weak perform,neutral
profit for the period was eur mn up from eur mn,positive
royal dutch shell profit rise dividend up,positive
gs slide on balanc sheet worri,negative
the australian compani mirabela nickel has award outokumpu technolog a contract for grind technolog for it nickel sulfid project in bahia state brazil,positive
the compani distribut hiab s product as well as other product,neutral
british american tobacco first-half sale hurt by currenc move,negative
rimm spx nya compq djia all go down,negative
the compani close last year with a turnov of about four million euro,neutral
aapl broke descend channelwil it hold,neutral
oper profit total eur mn up from a loss of eur mn in the fourth quarter of,positive
helsinki afx - retail and wholesal group kesko report net sale of mln eur for februari an increas of pct year-on-year,positive
tekla s defens busi employ over person and is locat in espoo finland,neutral
ad more bbbi jimcram is wrong about this one still a veri profit merchant with profit store,positive
the compani said it estim to make a slight profit thank to cost-cut measur,positive
as a result of the cancel the maximum increas of citycon s share capit on the basi of the convert bond decreas from eur to eur,neutral
more than a third of the origin particip drop out due to nausea and other side effect,neutral
howev it market share shrank to per cent from per cent a year earlier,negative
the compani s profit total ls,neutral
pharmaceut market in belgium global research data servic publish recent a market analysi about the pharmaceut market in belgium,neutral
tesla motor recal model x suv tsla,negative
oper margin howev slip to from drag down by a poor perform in enterpris solut,negative
in the group s net sale stood at eur million and it had about employe at the end of june,neutral
scottrad whi is tsla not avail for short at this time same for w,negative
oper profit fell from eur mn in the second quarter of to eur mn in the second quarter of,negative
capman the stockholm-headquart privat equiti firm has held a first close on it second privat equiti real estat fund as it continu it push into the properti sector,neutral
the pilot project prove that rifd technolog is ideal for our purpos comment olli saarinen materi handl supervisor at yara,positive
howev the order receiv dure the period under review fell by quarter-on-quart from the eur million record in the second quarter of,negative
yoku high volum blast off friday goe higher,positive
ibio up in premarket readi for lift off,positive
base on the first quarter result exist order backlog and new order prospect the compani expect that full-year sale will contract by from the gross margin will stay at a healthi level and the oper profit margin will be lower than in due to lower sale volum,negative
tesla model x recal add to reliabl issu tsla,negative
the write and public of lemminkñinen -¦ s histori is a continu of earlier collabor between antti tuuri and the compani,neutral
stx move off the bottom but still in bear market datasecur emc sndk wdc,negative
astrazeneca profit down as sale of stalwart fade,negative
the compani said that it will suppli the wcdma g-hspa radio network includ the modular high capac nokia flexi wcdma base station in east java bali sumatra and batam,positive
among other industri stock metso ad pct to eur wartsila b was down pct at eur and rautaruukki k was pct lower at eur,neutral
- the group -¦ s result befor tax was a loss of eur million,neutral
yhoo fishi action new parti interest dailymail bounc retreat not short by ani mean but action question big up move thought,neutral
in finland s hobbi hall s sale decreas by and intern sale fell by,negative
it is also pct abov the -month volum weight averag price of the stock,positive
accord to the ceo of nordea bank estonia vahur kraft nordea finland and stockmann have been cooper for more than ten year,positive
crk time to accumul for a long posit with far more upsid than downsid,positive
finnish forest industri group stora enso oyj issu on thursday march a profit warn for the first quarter,neutral
oil major like royal dutch shell chevron bp fail to find reserv to counter,negative
jani arbidan ceo of yit celtnieciba said the compani was focus on hous and real estat develop market,neutral
about of this came from aspo chemic from aspo ship and from aspo system,neutral
britain ftse forg ahead as shire surg,positive
in finland the bank of àland report it oper profit fell to eur mn in the second quarter of from eur mn in the second quarter of,negative
bone earn stock pois to pop,positive
stock exchang releas sanoma has publish it annual report and financi statement for and it first corpor respons report,neutral
finnish exel composit a technolog compani that design manufactur and market composit profil and tube for various industri applic report it net sale decreas by in the second quarter of to eur mn from eur mn in the correspond period in,negative
relat with the citi have been further damag by comment from mr ashley criticis citi investor and analyst as cri babi,negative
marathon estim the valu of it remain stake in protalix at million,neutral
fiskar is also engag in the global suppli of marin and energi equip solut and servic through it associ compani wartsila corpor,neutral
unit cost for flight oper fell by percent,positive
russian export duti will activ harvest in finland and sale in russia will increas also,positive
howev the proport of the paid stand order grew in,positive
absolut bank is explor the possibl of further borrow,neutral
market share decreas on the rout between helsinki in finland and tallinn in estonia by percentag point to,negative
in the fourth quarter of net sale increas by to eur mn from eur mn in the fourth quarter of,positive
grapevin citi offici in septemb approv million in tax rebat and grant for the expans,positive
net interest incom total eur mn compar to eur mn a year earlier,positive
nflx i say it time to short at this point,negative
it market share widen to percent from percent a year earlier,positive
oper profit total eur mn down from eur mn in the correspond period in,neutral
finnish softwar and hardwar develop elektrobit oyj hel ebgv or eb said today it will temporarili lay off up to peopl for a maximum of day in finland aim to achiev cost save of eur million usd m in the second half of,negative
aapl key is to breakout abov on solid volum or els it a no trade for now,positive
the reason for this is st petersburg status as a capit one of the particip in the meet quot chikunov as say,neutral
oper profit exclud non-recur item total eur mn compar to eur mn in the correspond period in,neutral
in finland snow storm brought tree down on power line cut off electr for some household,negative
british american tobacco drop and sue pwc over pollut scandal,negative
vmw got a nice push today follow small sweeper of may c this morn,positive
they are also upset that some of the machineri and work is taken over to poland,negative
no financi inform was provid,neutral
via the agreement ramir will expand the rang of equip and servic it deliv to destia ramir finland s manag director kari aulasmaa said,positive
this truli take effici to new height mr metso add,positive
meanwhil minor sharehold expect teliasonera to retain the bid sell share now,neutral
intertek swing to â£ mln loss on oil slump,negative
compar oper profit for the quarter decreas from eurm while sale increas from eurm as compar to the third quarter,negative
the divest stake repres about m share in okmet s capit,neutral
tornio work employ of whom more than have been in the scope of the fixed-period or part-tim temporari layoff in april-octob period,neutral
finnish suominen corpor that make wipe nonwoven and flexibl packag expect chang in the market situat to reduc sale of suominen s nonwoven and wet wipe from the previous estim volum,neutral
other north-rhin westphalia - is to issu a benchmark year fix rate deal in euro,neutral
both compani exist invest plan will be coordin,neutral
bone earn stock pois to pop,positive
tesla motor recal model x suv tsla,negative
in finland s hobbi hall s sale decreas by and intern sale fell by,negative
for the first nine month of talvivaara s net loss narrow to eur million from eur million for the same period of,positive
uk ftse has worst day so far in as bg and prudenti fall,negative
oper profit in the half were m down from m as glisten invest in the brand and the manag team,negative
deliveri of nokia nokia and nokia are expect to start in the second quarter of,neutral
the chang will take effect on januari and they are not estim to have an impact on the number of employe,neutral
the dispos of autotank will also strengthen aspo s capit structur comment gustav nyberg ceo of aspo,positive
product situat has now improv,positive
in stead of be base on a soft drink as is usual the teho energi drink is made with fresh water,neutral
tallink silja attribut the signific drop to problem with the book system that was taken into oper in octob the sale of trailer ferri sky wind and the rout between stockholm and riga which has won passeng from the helsinki-stockholm rout,neutral
the parti have agre to negoti definit distribut and licens agreement by the end of june,positive
-star analyst brianwies from pivot research upgrad rate on googl to buy brian has a success rate,positive
oper loss total eur mn compar to a profit of eur mn in the first half of,negative
this order is includ in wartsila s order book in the second quarter the compani ad,neutral
the subscript increas cargotec s share capit by euro,positive
also it is bring in the right kind of peopl to upgrad it human resourc,positive
europ howev remain an import and strong market for us,neutral
overal we re pleas with the startup curv and we re pleas with the qualiti of the paper stora spokeswoman patricia dietz said tuesday,positive
press serco set to appoint roy gardner ex-centrica as chairman - ft,positive
the categori was mark by matur and the recess,neutral
the new factori work model and reorganis would decreas nokian tyre cost in the factori by eur million usd m,positive
the liquid provid was interrupt on may when aspocomp group oyj s share trade below cent aspocomp s stock exchang releas,negative
the airlin s share price close down slight at xac us in helsinki,negative
profit take on aapl this morn that has to be the pressur on the stock im still bullish on aapl,positive
kndi china electriccar maker china car sale also may feed off tsla momentum run late,positive
both oper profit and net sale for the six-month period increas respect from eur m and eur m as compar to the correspond period in,positive
ism doe not disclos it financi result the daili said,neutral
ino up up and away!,positive
yit construct and the town of riihimñki have sign a leas contract wherebi the town will occupi the travel centr offic facil,positive
uk stock littl chang near record as barclay shell fall,negative
earn per share for the quarter were also higher year-on-year at eur versus and abov market expect of eur,positive
commiss incom rose by to eur mn from eur mn in,positive
most of the increas in net sale was due to the acquisit of swedish silva that produc garden tool and boat,positive
it is expect to be onlin by,neutral
demand for sport equip was good in,positive
glencor slump percent as debt fear grow,negative
okmet has a global custom base and sale network product plant in finland and the us and contract manufactur in japan and china,neutral
pharmaceut group orion corp report a fall in it third-quart earn that were hit by larger expenditur on rd and market,neutral
consist of seven interconnect unit mega imag s logist center will be metr in length and metr in height,neutral
tesco set to sell kipa giraff busi - sky news,negative
the stoneg product famili was design to provid the full benefit of a unifi manag system includ share log report and audit,neutral
orion s net profit for the third quarter of decreas to mln euro mln from mln euro mln a year earlier,neutral
howev biohit estim it total net sale will continu to grow in and that favour trend in net sale will lead to a profit in,positive
finnish dental care group oral hammaslaakarit oyj post a total net profit of euro mln in the first nine month of versus a net loss of euro in the same period of,positive
esi on low down to bk a real possibl,negative
supermarket stock ralli as tesco plan to axe non-cor uk asset tsco,positive
other north-rhin westphalia - is to issu a benchmark year fix rate deal in euro,neutral
updat -dairi crest lose a third of morrison milk contract,negative
the layoff talk were first announc in august,neutral
nflx vision short term consolid then movement higher,positive
these financ arrang will enabl the compani to ensur in line with it treasuri polici that it has suffici financi instrument at it dispos for it potenti capit requir,positive
oper profit for the -month period decreas from eur m while net sale increas from eur m as compar to,negative
metso said it has won an order worth around mln eur to suppli a kraftlin board machin to china s lee man paper co,positive
the compani will releas it result on februari,neutral
ab inbev look to win over sabmil investor,positive
lnkd daili phase retest - price experienc earli reject can it retest,negative
ahlstrom corpor stock exchang announc at a total of new share of ahlstrom corpor have been subscrib with option right under the compani s stock option program i and ii,neutral
lock in some fb put for nice gain,negative
yit acquir invest right to a squar metr residenti project in yaroslavl and to a squar metr project in moscow,neutral
london marketwatch -- share price end lower in london monday as a rebound in bank stock fail to offset broader weak for the ftse,negative
crown castl buy tower develop corp for million,positive
number of offer receiv for this contract is two,neutral
vike line has cancel some servic,negative
product level have been agre with produc a long time ago so a fall in consumpt will lead to loss,negative
spi less than down and peopl are call it bearish some head for exit alreadi mayb down will be the crash disturbing!,negative
petrofac book further â£m cost for shetland gas termin delay,negative
finnish energi compani fortum oyj said on novemb it was grant an environment permit to build a biofuel-fir combin heat and power chp plant in vartan harbor in eastern stockholm,positive
uncommon weak snow condit in near everi market have affect our first quarter result chief execut roger talermo said,negative
finnish electron contract maker incap oyj said on januari it sold it manufactur facil in helsinki to local real estat compani sponda oyj for mln euro mln,neutral
in stora enso s net loss was eur million compar to eur million in the previous year,neutral
destia oy is a finnish infrastructur and construct servic compani build maintain and design traffic rout industri and traffic environ but also complet live environ,neutral
oper profit decreas to eur mn from eur mn in,negative
oper loss total eur mn compar to a loss of eur mn in the correspond period in -,negative
aapl bounc right now has no vol more vol when it slid,positive
the largest restructur is plan for itali where negoti on about job cut are to be initi today the compani note,negative
the compani report a loss for the period of eur mn compar to a loss of eur mn in the correspond period in,positive
samsung current occupi third place and lost ground dure the quarter drop by to an share overal,neutral
oper loss total eur mn compar to a profit of eur mn in the first half of,negative
in finland finnish pharmaceut compani orion corpor omx helsinki ornav said on wednesday januari that it has conclud it personnel negoti in finland and will reduc the number of personnel by,neutral
primark rack up a happi christma after strong sale,positive
the most signific capit expenditur item were in the global enterpris resourc plan erp project product develop and product machin,neutral
finnair s tallinn-bas subsidiari aero as carri passeng a declin of on rout between helsinki and the baltic capit and within southern finland,negative
oper profit of the asian plant grew mark,positive
in the fourth quarter of net sale decreas to eur mn from eur mn in the fourth quarter of,negative
accord to the compani in addit to normal season fluctuat the market situat has weaken dure autumn,negative
aug curb deliv by newstex -- and now the latest from rack cover shop and retail from the sidewalk up,neutral
tsla you have to love these type of articl ss interest rose on on day befor we hit our low,negative
earn per share ep for the first quarter amount to eur up from eur,positive
the reduct will be conclud by autumn,neutral
dlerch lol! fmcn back under darn those shorts! no chit sherlock!,negative
starbuck digit strategi to drive signific growth with custom loyalti sbux,positive
perform is base on valu and sustain,neutral
the address locat is provid to a local control prefer by wireless transmiss which then use the address locat to access the applianc control modul,neutral
the compani s share is list in the mid cap segment of the nasdaq omx helsinki,neutral
satama s net profit for the third quarter of rose to euro from euro for the same period of,positive
smh got a sell signal on and need to take out to go higher otherwis head lower than gap below at,negative
profit befor tax decreas to eur mn from eur mn the year befor,negative
oper profit for the nine-month period increas from eur m and net sale increas from eur m as compar to the correspond period in,positive
finnair s tallinn-bas subsidiari aero as carri passeng a declin of on rout between helsinki and the baltic capit and within southern finland,neutral
strand associ is expand it madison corpor headquart with space to add about employe to the engin firm,positive
vike will pay eur million for the new ship which will be complet in januari,neutral
with sale of billion over the last twelv month end octob and over store in state dollar general is the nation s largest small box discount retail,neutral
paper maker stora enso oyj said friday it has been acquit of charg that it particip in a paper price-fix conspiraci in the unit state,positive
the item includ restructur cost of eur m while a year earlier they were eur m dilut ep stood at eur versus a loss per share of eur,positive
the dismiss staff member will now take the matter to court unless it can be settl outsid,negative
the compani is in the process of build a new fleet and has place order for p-max tanker of dwt,positive
the feder secretari for transport and communic of mexico has award poyri and it mexican partner sintra a consult contract in connect with the buenavista-cuautitlan suburban railway,positive
the situat of coat magazin print paper will continu to be weak,neutral
at the same time i am delight by the fact that we were abl to accomplish the organ with our own team member,positive
the sale will lead to a pretax capit gain of eur million for the finnish compani in,positive
oper result exclud one-off item total eur mn compar to eur mn in continu oper exclud one-off item in,negative
the compani said product volum so far indic the circuit is capabl of the target output rate of tonn per day or million tonn a year,neutral
and the broker repeat it buy rate base on expect that current restructur will lead to a clear improv in perform in europ in,positive
standard charter lag on capit worri,negative
support nokia phone includ n n-gb n n-n n n n n n n n n n n n n n e e e e e e e-ei e e e touch xpress classic navig classic navig xm,neutral
profit for the period fell to eur mn from eur mn in january-septemb,neutral
brief-leg general retir busi book billion stg h sale,positive
both oper profit and net sale for the -month period increas respect from eur m and eur m as compar to,positive
accord to atria s presid and ceo matti tikkakoski the compani s swedish oper signific improv in the first quarter,positive
tsla wish had my put back but see if we can find support around and pop up so that i can get back in,negative
oper result exclud one-off item total eur mn compar to eur mn in continu oper exclud one-off item in,negative
long posit on ipscal up,positive
glaston s own glass process unit tamglass glass process is a manufactur of high qualiti safeti glass product and oper in finland,neutral
the stabl outlook reflect nokia s strong market posit in the global mobil handset market strong cash flow generat and veri conserv balanc sheet said raab,positive
sale increas due to grow market rate and increas oper,positive
berkshir seek to boost it well fargo stake abov percent,positive
on march stora enso refus to comment the news in ani way,neutral
the total project durat is three year and it is valu at some eur m,neutral
it post a turnov of mln euro mln and an oper profit of mln euro mln for,neutral
in finland s hobbi hall s sale decreas by and intern sale fell by,negative
the kyroskoski invest is to be complet in late and the äñnekoski invest in the spring of,neutral
facebook fb receiv a buy rate from well fargo -star analyst peter stabler well fargo,positive
finnair s tallinn-bas subsidiari aero as carri passeng a declin of on rout between helsinki and the baltic capit and within southern finland,negative
the finnish nation carrier said net loss in april through june was euro million down from a net profit of euro million a year earlier,negative
tesco share jump after christma sale beat expect,positive
finnish media compani talentum oyj s net profit decreas to mln euro mln for the first quarter of from mln euro mln for the same period of,negative
altogeth finnair has cancel over flight becaus of the strike,negative
in q of bank of àland s net interest incom increas from eur mn to eur mn,positive
aapl price momentum weaken go into the close,negative
ssh establish new global sale and market group to be led by georg adam adam establish global sale and market group to drive worldwid program support ssh tectia enterpris secur solut,neutral
