,Sentence,Sentiment
1068,Fastenal misses by misses on revenue FAST NYSE,negative
1069,Finnish investment group Norvestia Oyj said its net profit fell to mln euro mln in from mln euro mln in,neutral
1070,The commission found evidence of several meetings to discuss the cartel including one in a Brussels restaurant in November at which the companies discussed price increases,neutral
1071,As part of the reorganisation measures that will take place in spring Tamglass Finton will start personnel negotiations that will affect its entire staff of,neutral
1072,This corrensponds to percent of Okmetic s share capital and voting rights,neutral
1073,Tim Cockroft brings with him an excellent track record having more than years experience moreover Tim has successfully developed the Capital Markets operations at Kaupthing Singer Friedlander involving corporate finance and broking with a focus on mid-market companies,positive
1074,November - Finnish paints and coatings company Tikkurila Oyj HEL TIKV said today that Finnish state-owned investment company Solidium Oy sold its stake in the company for a total of EURm,neutral
1075,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway,neutral
1076,ABN Amro Capital has agreed to sell its Helsinki-based designer homeware producer Iittala Oyj to crosstown consumer products group Fiskars Corp for EUR million to EUR million million to million,neutral
1077,Feed companies Suomen Rehu and Raisio do no import GMO feed,neutral
1078,Tecnomen s solution can be used for prepaid and post-paid billing for charging and rating of voice and video calls data traffic and any kind of content services in both mobile and fixed networks,neutral
1079,Performance is based on values and sustainability,neutral
1080,Biohit said that it will reduce the number of leased personnel by and lay off of its own personnel,neutral
1081,GEVO PLUNGING! Back to,negative
1082,The company s net profit rose on the year to million euros in on sales of million euros up on the year the company said earlier,positive
1083,Earnings per share EPS amounted to EUR,neutral
1084,Ingenious HSBC UBS and Coutts sued by tax avoidance clients,negative
1085,A purchase agreement for tons of gasoline with delivery at the Hamina terminal Finland was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month,positive
1086,Short on ATVI from,negative
1087,PKT Momentum building for breakout trigger ! Long setup,positive
1088,The platform would continue to be the development framework for Symbian and MeeGo,neutral
1089,May - Finnish company Lemminkainen Oyj HEL LEMS said today that it will construct an office building at Toolonlahti in downtown Helsinki without disclosing financial details,neutral
1090,The final price will be specified by May the acquiring company said,neutral
1091,Nordea Pankki Suomi Oyj according to previously announced has made forward contracts on Alma Media Corporation shares,neutral
1092,Profit before taxes was EUR mn down from EUR mn,neutral
1093,They both will report to Oriola-KD s chief executive officer Eero Hautaniemi,neutral
1094,By cutting the number of plants the group will trim fixed costs,positive
1095,SINA even though the report is untrue and has been proven unture the damage is done No one wants to touch it now,negative
1096,Merkels Government Said to Support Deutsche Boerse-LSE Merger,positive
1097,Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro,neutral
1098,CompaniesTesco off to a bad start over Xmas â€“ Kantar,negative
1099,Capacity of the facility made by Finland s Vaahto Group is tons of light coated paper,neutral
1100,March - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway s Telenor ASA OSL TEL and Sweden s TeliaSonera AB STO TLSN in the short term,neutral
1101,Steek which was set up in is based in Bordeaux southwestern France,neutral
1102,President and CEO Mika Vehvilñinen says the positive signs are first and foremost emerging outside Finland,positive
1103,Finnish construction group Lemminkñinen has been awarded two road building contracts by the Lithuanian transport administration,positive
1104,According to Eijkens a publisher can do much more than just publish colourful books a publisher can provide value added to information by individualising it,neutral
1105,Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki OKMV said on Wednesday September that it will invest EURm in its sensor wafer business during,neutral
1106,RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales,positive
1107,The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced,neutral
1108,Work on the assignment has already started and is due for completion in spring,neutral
1109,Progress Group QPR s representative in Saudi Arabia and North Africa has signed a framework agreement for a long term strategic relationship with ISE,positive
1110,Finnish Bank of àland reports its operating profit fell to EUR mn in the third quarter of from EUR mn in the third quarter of,negative
1111,Finnish Kemira s net sales EUR decreased to EUR mn in January-June from EUR mn in January-June,neutral
1112,Financial terms were not disclosed,neutral
1113,The company may at any time have in its possession one tenth of all its shares at the maximum,neutral
1114,The value of the orders is about EUR mn,neutral
1115,RECAP MSFT rumor this morning had them spinning off XBOX unit stock grinds up all day to close on highs,positive
1116,According to Finnish Metso Minerals the value of the company s orders has gone up to EUR bn in months,positive
1117,Therefore the company s result will remain weaker than that of,neutral
1118,Breakingviews IAG can pay more for Aer Lingus,positive
1119,The pine oil project is related to the upgrade of the chemical recovery plant of UPM at its pulp mill in Kymi southern Finland,neutral
1120,Standard Chartered Shifts Emerging-Markets Strategy After Losses,negative
1121,AB InBev to Sell SABMiller Stake in Chinas Snow Beer,neutral
1122,The Marubeni Group focuses on creating value chain from upstream to downstream encompassing a wide variety of business fields including oil gas metals mineral resources foods pulp paper and chemicals among others,neutral
1123,Based upon its unique fiber expertise and innovative approach the company has a strong market position in several business areas in which it operates,positive
1124,The personnel s expertise and high level of technology play a major role in Exel Composites operations,neutral
1125,Coca-Cola was the market leader of manufacturers with a market share of down from the corresponding period in -,negative
1126,Metsa-Botnia will sell of its stake in the Uruguayan companies and Metsaliitto --,neutral
1127,Aviva weighs cash handout after beating profit forecast,positive
1128,Tesla to recall Model X SUVs over seat issue TSLA,negative
1129,Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse,neutral
1130,Adjustment to the fall in price level in contrast has been less effective,neutral
1131,Okmetic has a global customer base and sales network production plants in Finland and the US and contract manufacturers in Japan and China,neutral
1132,Public services will also be available,neutral
1133,Asian traffic declined by per cent,neutral
1134,Finnish and Swedish construction markets are still experiencing an estimated annual growth in,positive
1135,Stock Exchange Release Sanoma has published its Annual Report and Financial Statements for and its first Corporate Responsibility Report,neutral
1136,The company targets sales of Ls mn Ls mn and a profit of Ls Ls in,neutral
1137,After the takeover Cramo will become the second largest rental services provider in the Latvian market,positive
1138,Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions,neutral
1139,It projected revenue of billion to billion slightly higher than analyst estimates of billion,positive
1140,The brokerage said has seen a true turning point in European steel base prices with better pricing seen carrying through the second quarter of,positive
1141,Operating profit in the fourth quarter fell to EURm from EURm a year earlier,negative
1142,JD down in after-hour market anyone care to explain why,negative
1143,Operating profit totalled EUR mn up from EUR mn year-on-year,positive
1144,BRIEF-Aviva aims to increase dividend pay-out ratio to pct in,positive
1145,EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher,positive
1146,GeoSentric is acquiring extra financing by issuing a maximum of new shares and a convertible bond with subscription rights for shares which have been fully subscribed,neutral
1147,ADBE technical alerts Expansion Breakout Gilligans Island Sell Setup Volume Surge and New,positive
1148,IWM same conditions that sent markets to tumble all hitting this week,negative
1149,AAPL near a drop thats a lot now the best i can do is HOLD ER lol,negative
1150,Operating profit improved by to EUR mn from EUR mn in,positive
1151,On Dec Grimaldi acquired million shares and a -percent stake in Finnlines,neutral
1152,Shire proposes bln all-share tie-up with Baxalta,positive
1153,Last July the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars in the east of France where it already operates a hook manufacturing and distribution unit,neutral
1154,Pohjola and cooperative banks have continued to combine their branch office network,neutral
1155,Prothious Engineering employs more than and has a large portfolio of projects and an annual detailing capacity of more than tonnes,neutral
1156,Qualcomm estimated a first-quarter profit between and cents a share excluding certain items below the analyst estimate of cents a share,neutral
1157,The liquidity providing was interrupted on May when Aspocomp Group Oyj s shares traded below cent Aspocomp s stock exchange release,negative
1158,The subscription period of Amer Sports warrant scheme will end on December,neutral
1159,This transaction will also rationalize our pulp and paper industry related solutions,positive
1160,schwalm at outoteccom Eila Paatela Vice President - Corporate Communications tel mobile e-mail eila,neutral
1161,I am looking forward to contribute to SRV s success with my competence says Taneli Hassinen,positive
1162,In the fourth quarter of net sales decreased to EUR mn from EUR mn in the fourth quarter of,neutral
1163,AstraZenecas MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,positive
1164,Order intake grew by year-on-year and year-on-year respectively to EUR million and EUR billion for the respective January-September and July-September periods,positive
1165,During the strike Finnair estimates to incur a net loss of between EURm and EUR m per day,negative
1166,Currently of Trainers House s revenues are attributed to the Finnish market,neutral
1167,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate,neutral
1168,The Russian gas giant invested another million litas in the company in late and now owns percent of its stock capital which amounts to million litas,neutral
1169,The company will use the money for product development and research activities through in its key markets Finland Germany Italy and France,neutral
1170,Through its partnership with Finnish Paulig s Danish subsidiary Oscar Puljonki acquired a sales organization in the European market,neutral
1171,Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies investments in Russia,positive
1172,Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland s troubled Kaupthing Bank for million kronor million in cash,neutral
1173,Exports grew percent to million liters,positive
1174,Digia said its consolidated net sales for January-June were EUR m up on the same period in EUR m,positive
1175,The company employing reported net sales of mln euro mln for,neutral
1176,TRLPC - CRH backs Lafarge Holcim asset buy with bln euro bridge loan,positive
1177,GS sees profits rise but UK contract problems remain,positive
1178,The office space will rise above the remodeled Cannon Street underground station,neutral
1179,According to the original merger plan Scanfil would get a stake in the combined business,neutral
1180,As a result the company will temporarily lay-off of the whole personnel approximately persons at Kirkkonummi and Nivala factories,negative
1181,In Kone received an order from Aker Yards to supply customised elevators for the very first Genesis cruise ship which is scheduled to be completed in,positive
1182,The service also enables users to watch e-mails in HTML format en is enhanced with addition languages to choose from,neutral
1183,Previously Grimaldi held a pct stake in the Finnish company following the takeover bid launched in November,neutral
1184,UPDATE -Auto Trader shares leap in UKs biggest private equity-backed listing,positive
1185,So far as is known he did not sell shares that he owns personally,neutral
1186,ADPnews - Oct - Finland-based IT consultancy Tieto Oyj HEL TIEV said today its net profit plunged to EUR million USD m for the first nine months of from EUR million for the same period o,neutral
1187,A corresponding increase of euros in Ahlstrom s share capital has been entered in the Trade Register today,neutral
1188,Following its strategy Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty Kazakhstan for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand,neutral
1189,Related links Flexiblebaseloadoperation TheWartsilagenerating set Gasconversions This is the shorter of two versions of this press release,neutral
1190,The inventors are Bylander Johan Ponten Fredrik and Lundberg Jorgen,neutral
1191,The inventors are Mukkavilli Krishna Kiran Sabharwal Ashutosh and Aazhang Behnaam,neutral
1192,In the third quarter net sales increased by year-on-year to EUR m or by at comparable currency rates growth,positive
1193,The Network Test Business is part of Elektrobit s Test and Automation Business Segment and employs people in Finland and people abroad mainly in the US and Asia,neutral
1194,The fair value of the investment properties totaled EUR mn up from EUR mn in,positive
1195,Diluted EPS rose to EUR from EUR,positive
1196,Long VVUS shares as a call option w an expiration of umm TODAY Hitting HOD here,positive
1197,There will be return flights from Stuttgart every morning as well as evening departures on Thursdays Fridays and Sundays,neutral
1198,Raute Corporation has received orders worth over EUR million from OOO Ilim Bratsk DOK in Russia,positive
1199,We ve been feeling quite positive about the region as a whole,positive
1200,Under the terms of the agreement Bunge will acquire Raisio s Keiju Makuisa and Pyszny Duet brands and manufacturing plants in Finland and Poland,neutral
1201,CompaniesAB InBev signals it wont go hostile for SABMiller,positive
1202,The ISO certification demonstrates that we are moving forward in our quality commitments to our customers,positive
1203,The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland the paper added,neutral
1204,Salcomp Manufacturing Oy will pay EUR million in cash to Salcomp in connection with the implementation of the sale and transfer of the Business,neutral
1205,ALEXANDRIA Va Dec -- United States Patent no issued on Dec was assigned to Outotec Oyj Espoo Finland,neutral
1206,Finnish IT solutions provider Affecto Oyj HEL AFEV said today its slipped to a net loss of EUR USD in the second quarter of from a profit of EUR in the corresponding period a year earlier,negative
1207,The newly-completed Allure of the Seas and its identical sister ship Oasis of the Seas which was completed last year are the world s largest cruise ships,neutral
1208,After April Cencorp will not have any own employees in the territory,neutral
1209,Based in Helsinki Finland Ramirent has branches in Nordic central and Eastern European countries,neutral
1210,s business sectors are building construction infrastructure construction and technical building services,neutral
1211,Designed by Patricia Burt this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes,neutral
1212,Infection worries prompt regulatory reviews of Gilead leukaemia drug GILD via YahooFinance,negative
1213,The Department Store Division s sales fell by to EUR mn,negative
1214,Significance Teleste has emphasised that with its large size and growing economy as well as the rapid development of its TV services distribution industry Poland is viewed as an attractive market,positive
1215,Technopolis plans to develop in stages an area of no less than square meters in order to host companies working in computer technologies and telecommunications the statement said,neutral
1216,In Finland export industry forms a large clientele for the packaging industry,neutral
1217,ADP News - Oct - Finnish food company Raisio Oyj OMX RAIVV said today that its net profit jumped to EUR million USD m for the first nine months of from EUR million for the same period of,positive
1218,You will hear the latest insights and updates on Citycon s strategy as well as the latest news from all the business units,neutral
1219,XLF Bounced off target buy area bought skf as a hedge watch mas slope,negative
1220,BHP Billiton posts big loss slashes dividend,negative
1221,They will be sunk to a depth of some - metres and fixed to the bottom mud by vacuum,neutral
1222,Device volume in the area decreased by to mn units,neutral
1223,Sponda will record a profit from the sale of mln euro mln,positive
1224,Berling Capital Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital,neutral
1225,TRX Long setup MACD cross,positive
1226,According to Ultrascan with a software acquired from crackers it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message,neutral
1227,In the beginning of the negotiations the estimated number of reductions was at the maximum,neutral
1228,The Group s business is balanced by its broad portfolio of sports and presence in all major markets,positive
1229,Elcoteq s global service offering covers the entire lifecycle of products from product development to after-market services,neutral
1230,PCLN Back to Back intraday reversals look out below Shorts moving in!,negative
1231,Outotec s scope of delivery covers the engineering supply of special equipment and services for a calcination plant with two circulating fluid bed calciners,neutral
1232,Solidium now holds per cent of the shares Solidium Oy has acquired per cent of the shares in Tieto Corporation for approximately EUR million,neutral
1233,Raute is listed on the Nordic exchange in Helsinki,neutral
1234,SPY still wants higher I think,positive
1235,Finnish forest industry group Stora Enso Oyj issued on Thursday March a profit warning for the first quarter,neutral
1236,Poyry has a good track record of major transportation projects in Latin America,positive
1237,The announcement pushed Freenet shares down or EUR in Frankfurt trade to EUR as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet,neutral
1238,At am Huhtamaki was the market s biggest faller pct lower at eur while the OMX Helsinki was pct higher at and the OMX Helsinki was up pct at,negative
1239,These measures are expected to produce annual cost savings of EUR million starting in,positive
1240,The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR for the Chairman of the Board EUR for the Deputy Chairman of the Board and EUR for other members of the Board,neutral
1241,Sanoma Magazines Finland s net sales grew to EUR mn from EUR mn,positive
1242,Ruukki s order book at the end of was up year-on-year and up quarter-on-quarter,positive
1243,The repurchases shall decrease the distributable capital and reserves,negative
1244,Pretax loss totalled EUR mn compared to a profit of EUR mn in,neutral
1245,KIOR My god Market getting crushed today Gotta hold if anything g should recover some tomorrow I imagine,negative
1246,At the end of March the group s order book was at EUR mn up from the corresponding period in,positive
1247,National Conciliator Juhani Salonius who met both parties on Wednesday said they were too far apart in their views for him to propose mediation,negative
1248,Metsaliitto said that it will book a minor gain of less than EUR m from the transaction,positive
1249,Known as Post Bank the concept would see Fidelity Bank rolling out offices in Ghana Post premises to provide financial services to the people,positive
1250,UKs FTSE has worst day so far in as BG and Prudential fall,negative
1251,Finnish retail software developer Aldata Solution Oyj reported a net loss of mln euro mln for versus a net profit of mln euro mln for,negative
1252,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,negative
1253,Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards,neutral
1254,It is part of the development of the world-class magnetite deposit at Karara which has the known potential for over million metric tons of annual processing of magnetite over its estimated -year life,neutral
1255,Glencore slumps pct as debt fears grow,negative
1256,Standard Chartered Not Raising Capital Yet As Dividend Cut,negative
1257,SONC Amazing run since middle of March - obvious that the qualitytastiness of their burgers is not being factored into this price advance,positive
1258,The air traffic of Finland has been in stoppage since then,negative
1259,UPDATE -Engineering firm Smiths Group confirms CEO appointment,neutral
1260,workers in àmÑl will be affected by the close-down,negative
1261,Karppinen expects the consolidation trend to continue in the Finnish market,neutral
1262,Metso estimates the need for personnel reductions to amount to people,neutral
1263,AAPL AAPL Gundlach Slams iPad mini Sees Downside to,negative
1264,AstraZeneca shares climb as drug maker ups profits forecasts,positive
1265,- Operating profit rose by to EUR million,positive
1266,The EPS improved to EUR from EUR,positive
1267,Insight hires Avivas David Hillier for multi-asset team,positive
1268,The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa,neutral
1269,It grew in Finland Norway Denmark and the Baltic countries,neutral
1270,Today I bought more MU YHOO VALE NBL TWTR AXP ZNGA,positive
1271,Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models in volume ranges from micro litres to ml,neutral
1272,The final outcome of the rights offering is to be reported around October,neutral
1273,Vaisala s board of directors will propose a dividend of euro per share at the company s annual general meeting,neutral
1274,Body The credit falls due February,neutral
1275,Im liking the price action in SWKS currently my target before year end,positive
1276,The report also said Nokia s operations comprising the sites at Bochum Ulm Dusseldorf Munich and Frankfurt posted operating profit after interest of mln eur,neutral
1277,As a result the company has decided it will implement fixed-term temporary lay-offs,neutral
1278,Copper market may get a -style supply shock from Glencore closures,negative
1279,According to the company s updated strategy for the years - Basware targets a long-term net sales growth in the range of - with an operating profit margin of - of net sales,positive
1280,Scanfil holdings include of contract electronics manufacturer Scanfil EMS Group,neutral
1281,Dubai Nokia has announced the launch of Comes with Music its ground-breaking service which introduces a new way for people to enjoy music,positive
1282,Finnish metal components supplier Componenta on December applied for approval with the Turkish Capital Markets Board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer Doktas Dokumculuk,neutral
1283,Cost savings will then rise to some mln eur a year from OKO said,positive
1284,Biohit and VWR have been in close cooperation for a number of years in the US where Biohit is one of VWR s focus suppliers,positive
1285,Finnlines said that the deal is part of its strategy to focus on its core businesses,neutral
1286,The order comprises all production lines for a plywood mill company said in a statement received by Lesprom Network,neutral
1287,SPY Long position,positive
1288,The total value of these two contracts is over EUR million,neutral
1289,ADP News - Oct - Finnish consulting and engineering company Poyry Oyj OMX POYV said today it was awarded a EUR million USD m extension to their existing consultancy engineering contract with Venezuel,positive
1290,No service pricing details were disclosed,neutral
1291,TSLA Recalls Model X Vehicles Shares Volatile TSLA tech stockmarket,negative
1292,Equipment will be manufactured in Vaahto s workshop in Hollola Finland and is scheduled for shipments during the first quarter of,neutral
1293,FB still a dog going much lower this week,negative
1294,The expanded plant is scheduled to be operational by the middle of October,neutral
1295,In July-September YIT s net sales increased to EUR mn compared to EUR mn in the corresponding period in,positive
1296,In Finland OP-Pohjola s staff union is boycotting the group s insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages,negative
1297,The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors,neutral
1298,TSLA recalls Model X cars Stock dropping hard,negative
1299,In Finland insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists traffic safety,positive
1300,Tikkurila a division of Kemira group controls about of the Russian market in its field and owns St Petersburg paint producer TEX,neutral
1301,The Department Store Division reported an increase in sales of per cent,positive
1302,In the Baltic countries Atria s target is organic growth,neutral
1303,Operating profit rose to EUR mn from EUR in the corresponding period in,positive
1304,The Group s revenue in amounted to EUR million and the company currently employs approximately people,neutral
1305,The board of directors also proposed that a dividend of EUR per outstanding share be paid,neutral
1306,EA points to the two Facebook games and accuses ZNGA of copyright infringement,negative
1307,In the second quarter of the group s net profit rose to EUR m from EUR m in April-June,positive
1308,Otherwise the situation is under control,neutral
1309,Juniper tumbles on Q warning Cisco also lower JNPR CSCO,negative
1310,In beers Olvi retained its market position,neutral
1311,In Finland the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March,negative
1312,According to latest information Benefon will launch its Twig device on September,neutral
1313,Exports accounted for of net sales representing an all time record for the company,positive
1314,According to Nordic financial group Nordea s analyst Sami Sarkamies this makes Nokia s portfolio competitive again,positive
1315,The payment of million litas in interest on a long-term loan provided by Ragutis majority shareholder Estonia s A Le Coq also added to the losses,neutral
1316,Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems,neutral
1317,Finnish steel maker Rautaruukki Oyj Ruukki said on July that it won a mln euro mln contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg western Sweden,positive
1318,Profit for the period totalled EUR mn down from EUR mn in the corresponding period in,neutral
1319,Both operating profit and turnover for the six-month period increased respectively from EUR m and EUR m as compared to the corresponding period in,positive
1320,HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits which overshadowed the large number of new orders received during the three months,neutral
1321,Doubts grow over GlaxoSmithKlines bln capital return plan,negative
1322,Altogether subjects with mildly elevated cholesterol levels participated in the four-month long intervention,neutral
1323,shares can still be subscribed for with Series E share options max,neutral
1324,Comptel Corporation Sami Ervio President and CEO Distribution NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively,neutral
1325,Operating profit for the nine-month period increased from EUR m and net sales increased from EUR m as compared to the corresponding period in,positive
1326,Absolut Bank is exploring the possibility of further borrowing,neutral
1327,NKE gapping up to all time highs tradeideas,positive
1328,The value of the order is around EUR million,neutral
1329,Elisa said mobile subscriptions grew percent during mainly because of customers adopting so-called third generation mobile technology,positive
1330,In Q of profit before taxes amounted to EUR mn down from EUR mn in Q of,negative
1331,Berkshire Hathaway names Kara Raiguel to lead General Re unit,neutral
1332,SRV will raise its holding in the company so that by the summer of it will have a majority,positive
1333,Olvi which controls a percent stake in Ragutis through A Le Coq said in its annual report published earlier this year that the Lithuanian brewery s sales reached million euros last year a rise of percent from million euros in,positive
1334,Kesko offers Hilton to open a hotel on Kalinisky prospect in a -square metres building because of these difficulties,neutral
1335,As a result of these negotiations the company has decided to make people redundant on financial and production grounds,neutral
1336,The air traffic of Finland has been in stoppage since then,neutral
1337,The new B shares carry the right to dividend and other shareholder rights with effect from today,neutral
1338,Also the traditional grapevine carries a lot of weight,neutral
1339,The company has a continuous need for alloys such as nickel ferro-chrome molybdenum and manganese in its production said Talvivaara,neutral
1340,Rautakesko s business operations in Norway and Russia acquired in July are included in the figures of the comparable period impacting sales growth starting from August,neutral
1341,The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR million,positive
1342,The company says the measures are no longer needed,neutral
1343,The reduction notice applied to people,neutral
1344,The OMX Helsinki index was pct lower at while the OMX Helsinki CAP portfolio index was down pct at,negative
1345,BM middle layer headbox will be equipped with a dilution control system,neutral
1346,Cencorp estimates that its net sales in the last quarter will be as earlier stated EUR m to EUR m and operating profit EBITis estimated to be positive,positive
1347,FTI Breakout today after reporting earnings last night,positive
1348,In the fourth quarter of Atria s net loss shrank to EUR million from EUR million and net sales contracted to EUR million from EUR million,positive
1349,Therefore the company s result will remain weaker than that of,negative
1350,However Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than countries Orion added,positive
1351,Relief for Lewis as Tesco sees sales grow for first time in a year,positive
1352,TSPT long,positive
1353,Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as cry babies,neutral
1354,Honkarakenne Oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring Finnish crosscountry skier Virpi Kuitunen for the next three years,neutral
1355,The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of,positive
1356,EUR million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes,neutral
1357,Ruukki Group calculates that it has lost EUR mn in the failed project,neutral
1358,FB Big Money Is Pouring Into Facebook From All Directions,positive
1359,SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to crowns - euro from crowns - euro,positive
1360,In TeliaSonera net sales were SEK bn EBITDA was SEK bn net income was SEK bn,neutral
1361,Uponor made an operating profit of EUR mn up from EUR mn which made a record year,positive
1362,Tekla Structures is all about you and your team and compatible with the Windows operating system,neutral
1363,Country Finland Sector Construction-Real Estate Target Pohjolan Design-Talo Oy Buyer CapMan Oyj Vendor Ruukki Group Oyj Deal size in USD m Type Divestment Status Agreed,neutral
1364,Finnish Suominen Corporation that makes wipes nonwovens and flexible packaging has a plant near Warsaw in Poland that makes flexible packaging,neutral
1365,Operating profit excluding non-recurring items totaled EUR mn down from EUR mn in the corresponding period in,neutral
1366,However the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry and they impacted on our results,neutral
1367,Net profit in the three months through March fell to xac million US million from xac million a year earlier the Finnish company said,neutral
1368,Nokia OYJ s production site at Bochum Germany posted profit before interest of mln eur for Capital reported in an excerpt of an article to be released tomorrow citing internal documents,neutral
1369,Rapala VMC Corporation STOCK EXCHANGE RELEASE October at am Kaupthing Bank Oyj Kapthing has informed Rapala VMC Corporation Rapala that it has interrupted the liquidity providing for Rapala s share for the time being,negative
1370,The divested activities had net sales of EUR million in and an operating profit of EUR million,neutral
1371,WYNN big bounce,positive
1372,The Polish business employs about people and it had net sales of about EUR mn in,neutral
1373,Royal Mail Johnson Matthey lead FTSE lower,negative
1374,Morrisons faces festive sales test,negative
1375,Dirk Jones head of Financial Institutions Client Sales Management GTS Citigroup Inc said Citi is extremely pleased to be providing global custody services to Pohjola Group Bank,positive
1376,FDA approves NPS drug in move validating Shire takeover deal,positive
1377,October - Finnish metal products company Componenta Oyj HEL CTHV said yesterday that its net loss narrowed to EURm for the first nine months of from EUR m for the same period of,positive
1378,The period s sales dropped to EUR m from EUR m according to the interim report released today,negative
1379,Department store sales improved by to EUR mn,positive
1380,The executive said that countries such as Brazil Chile Argentina and Mexico will lead the adoption in the business Ethernet services segment while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul,neutral
1381,Marketing will use Tikkurila s existing infra structure and local knowledge in Russia,neutral
1382,TWTR The best scenario going forward is this stock slowly falling everydayWhich is quite probable,negative
1383,Baird likes TSLA - upgrades to outperform lifts price target to Research firm also sees no capital raise necessary in next few qtrs,positive
1384,Global sports equipment maker Amer Sports Corp whose brands include Atomic Salomon and Wilson saw a percent increase in third-quarter net profit to EURO million million on strong sales and cost cuts,positive
1385,FB watching for bounce tomorrow,positive
1386,In addition the company is considering the start of production in Russia,neutral
1387,NetCom expects to complete Turbo G deployment in these areas this year,neutral
1388,Jñrvi-Suomen Portti is also planning to reduce the use of sodium nitrite,neutral
1389,According to CEO Matti Perkonoja of the parent company HKScan the company s performance in the first quarter of has remained clearly below the level of the corresponding period in,negative
1390,The company will publish its financial statement for on February,neutral
1391,The share sale to foreign and Finnish investors is expected to raise some euro million US million,neutral
1392,SPY Were holding above Wednesday and Thursday closes Im leaning bullish Small postions Waiting,positive
1393,Finnish plumbing and heating systems supplier Uponor s net sales from continuing operations decreased by in to EUR mn from EUR mn in,negative
1394,The handset also features a Media Bar for quick access to favorite media and applications including music photos YouTube or Ovi Share,neutral
1395,Finnish Honkarakenne that specialises in the building of log houses is planning to use pine from Russian Karelia,neutral
1396,Among the biggest Christmas sellers were a satin bow shift dress styled on outfits worn by Victoria Beckham and a Paris Hilton Prom dress,neutral
1397,Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards,neutral
1398,Comparable operating profit for the quarter decreased from EURm while sales increased from EURm as compared to the third quarter,neutral
1399,RAD All my charts are flashing oversold,neutral
1400,FB gettin in the buy zone soon,positive
1401,The order was valued at over EURm,neutral
1402,Finnish financial software solutions developer BasWare Oyj said its net profit fell to euro mln for the first quarter of from mln euro mln a year earlier,neutral
1403,Windows is awful why did it force an upgrade on my pc without my consent windows Microsoft msft,negative
